User,Edited Articles,Total Edits,Total Minors
193.175.236.171,1,1,0
212.59.61.7,1,1,0
84.59.50.219,1,1,0
129.217.129.133,1,1,0
imported>Bobdylan01,1,1,0
91.204.210.205,1,1,0
93.198.103.187,1,1,0
Trimpo,1,1,0
74.118.82.162,1,1,0
84.162.2.207,1,1,0
195.93.65.15,1,1,0
78.104.23.119,1,1,0
WikiJourney,1,1,1
79.221.32.184,1,1,0
136.199.211.147,1,1,0
84.58.248.35,1,1,0
84.133.62.252,1,1,0
87.167.205.125,1,1,0
131.220.124.56,1,1,0
213.7.197.69,1,1,0
84.184.227.64,1,1,0
2A02:8108:A80:2B7C:14A1:B155:267F:FD61,1,1,0
84.118.72.53,1,1,0
41.41.135.175,1,1,0
128.176.21.149,1,1,0
84.142.222.124,1,1,0
83.132.100.211,1,1,0
Christianschmidt,1,1,1
Grommel,1,1,1
87.178.9.95,1,1,0
87.98.244.221,1,1,0
84.140.172.12,1,1,0
Caro van Kuchen,1,1,0
84.44.192.191,1,1,0
80.134.92.226,1,1,0
93.211.141.210,1,1,0
Nuedel,1,1,1
83.109.163.240,1,1,0
2003:70:CE28:8200:E0A2:4A58:7F8C:9965,1,1,0
Wkr,1,1,1
217.84.220.9,1,1,0
217.95.254.16,1,1,0
46.115.10.232,1,1,0
213.61.58.74,1,1,0
84.162.67.73,1,1,0
217.246.235.123,1,1,0
84.154.167.214,1,1,0
84.135.47.25,1,1,0
62.157.92.138,1,1,0
217.238.12.151,1,1,0
84.59.62.8,1,1,0
72.137.19.47,1,1,0
87.165.232.38,1,1,0
89.244.87.32,1,1,0
Sambus1985,1,1,1
129.132.130.182,1,1,0
82.218.61.23,1,1,0
BlueMarvel85,1,1,1
87.144.116.181,1,1,0
94.16.64.47,1,1,0
134.91.226.64,1,1,0
88.72.254.66,1,1,0
77.253.170.229,1,1,0
84.188.234.108,1,1,0
Be-first37,1,1,0
85.177.162.102,1,1,0
2003:C4:9BCE:6562:8D02:94D:653:E908,1,1,0
37.24.196.69,1,1,0
Wodo,1,1,0
Ratte76,1,1,0
130.60.90.154,1,1,0
Keepchen,1,1,0
217.91.86.35,1,1,0
217.87.55.186,1,1,0
95.117.1.210,1,1,0
Prakti01,1,1,0
87.162.245.129,1,1,0
84.167.235.123,1,1,0
82.83.234.160,1,1,0
2A02:908:1B5:A4E0:830:A21D:280B:B8FB,1,1,0
85.179.79.190,1,1,0
87.126.191.210,1,1,0
212.114.173.133,1,1,0
89.13.211.240,1,1,0
84.164.85.64,1,1,0
84.164.85.60,1,1,0
84.175.77.84,1,1,0
87.151.248.246,1,1,0
91.57.182.30,1,1,0
66.230.200.148,1,1,0
84.187.228.87,1,1,0
193.159.55.14,1,1,0
124.127.168.216,1,1,0
Kugelfisch,1,1,1
93.219.205.249,1,1,0
89.49.74.190,1,1,0
93.129.251.238,1,1,0
93.219.47.31,1,1,0
84.63.228.141,1,1,0
91.33.141.89,1,1,0
78.51.90.192,1,1,0
A99robat,1,1,0
217.233.167.124,1,1,0
217.250.231.66,1,1,0
92.252.126.110,1,1,0
217.95.177.107,1,1,0
Tai i~dewiki,1,1,1
Bushmillsmccallan,1,1,0
88.65.146.97,1,1,0
84.62.86.124,1,1,0
82.113.99.139,1,1,0
88.76.46.139,1,1,0
87.165.236.32,1,1,0
KUrt,1,1,1
212.51.13.26,1,1,0
85.179.174.97,1,1,0
217.82.253.114,1,1,0
95.208.120.28,1,1,0
89.204.139.174,1,1,0
84.185.73.233,1,1,0
Agathoclea,1,1,0
91.141.1.249,1,1,0
195.93.60.104,1,1,0
195.93.60.103,1,1,0
145.254.159.31,1,1,0
84.141.240.237,1,1,0
93.232.20.165,1,1,0
88.130.204.185,1,1,0
77.9.76.6,1,1,0
80.145.236.45,1,1,0
193.134.254.145,1,1,0
89.182.63.103,1,1,0
217.246.25.114,1,1,0
84.157.98.9,1,1,0
201.65.7.3,1,1,0
Daveler888,1,1,0
T. Then,1,1,0
80.143.253.125,1,1,0
217.228.106.175,1,1,0
83.135.236.25,1,1,0
Srauhut,1,1,0
91.51.88.107,1,1,0
2003:7A:A93A:C701:1DF6:77E1:F5CF:3C66,1,1,0
85.2.141.184,1,1,0
84.191.35.39,1,1,0
Carl Ha,1,1,0
194.118.169.72,1,1,0
80.141.141.193,1,1,0
217.146.144.66,1,1,0
Kombat,1,1,0
2A01:598:90A1:A6A5:888E:292D:DE6C:A04D,1,1,0
84.191.54.250,1,1,0
84.227.82.210,1,1,0
Erelen,1,1,1
217.93.106.141,1,1,0
93.221.170.219,1,1,0
Hostrod,1,1,1
84.173.33.83,1,1,0
217.124.64.52,1,1,0
Alexxx86,1,1,0
80.121.5.7,1,1,0
89.0.98.69,1,1,0
85.178.196.3,1,1,0
84.129.23.171,1,1,0
Christoh,1,1,1
Qualitätsenzyklopist,1,1,0
2A02:8109:1E40:25EF:9889:F282:1D3C:FA5A,1,1,0
Wiki Leandros,1,1,0
85.197.45.59,1,1,0
80.131.156.51,1,1,0
Thomasione,1,1,1
62.178.238.230,1,1,0
217.249.22.107,1,1,0
86.94.56.27,1,1,0
Hafti123,1,1,0
2001:16B8:6024:B900:888C:2292:1651:D514,1,1,0
80.141.82.23,1,1,0
89.52.109.106,1,1,0
95.222.156.159,1,1,0
46.115.0.77,1,1,0
89.50.94.232,1,1,0
217.228.53.9,1,1,0
Flying sheep,1,1,0
RoterKoenig,1,1,0
80.228.74.227,1,1,0
Urmelbeauftragter,1,1,0
Roboxop,1,1,0
88.78.50.140,1,1,0
Adam123456,1,1,0
Tirallala,1,1,0
Neulich im Roxy Kino,1,1,0
91.11.89.2,1,1,0
Enim,1,1,1
Lumool,1,1,0
91.10.106.94,1,1,0
5.56.248.227,1,1,0
Area42,1,1,1
80.135.183.202,1,1,0
131.220.115.241,1,1,0
217.226.225.81,1,1,0
178.11.8.8,1,1,0
GEILER HECHT IN DE,1,1,0
87.122.19.115,1,1,0
"Dr. Feicke, Bernd",1,1,0
Artep66,1,1,1
2A02:2028:653:3B01:642B:F795:8208:E48D,1,1,0
2ndjpeg,1,1,1
80.228.181.174,1,1,0
Truefaith,1,1,1
80.136.124.142,1,1,0
87.152.207.16,1,1,0
Juknamo,1,1,1
188.174.177.178,1,1,0
217.227.164.43,1,1,0
GammaGate,1,1,1
91.32.127.233,1,1,0
84.146.205.186,1,1,0
188.106.133.11,1,1,0
93.195.52.22,1,1,0
201.159.22.149,1,1,0
Consystor,1,1,0
192.176.237.2,1,1,0
84.188.151.94,1,1,0
193.197.148.254,1,1,0
94.221.96.208,1,1,0
213.217.123.36,1,1,0
Namensknappheit,1,1,0
87.172.113.71,1,1,0
84.189.211.137,1,1,0
188.124.129.139,1,1,0
217.252.154.13,1,1,0
212.82.249.200,1,1,0
FranzKK,1,1,0
Chronix,1,1,0
RudolfHenze,1,1,1
2003:46:193D:F16F:C8D7:782A:84B5:EC8D,1,1,0
Candyfloss,1,1,0
128.176.150.144,1,1,0
84.140.185.1,1,1,0
84.189.169.9,1,1,0
84.151.233.241,1,1,0
90.187.44.149,1,1,0
80.137.4.217,1,1,0
84.174.101.137,1,1,0
178.7.188.200,1,1,0
217.80.106.203,1,1,0
85.124.201.235,1,1,0
84.156.153.112,1,1,0
193.84.66.45,1,1,0
91.34.92.137,1,1,0
80.153.72.138,1,1,0
80.135.64.155,1,1,0
95.90.251.133,1,1,0
79.216.252.140,1,1,0
Fhgw,1,1,1
201.238.71.157,1,1,0
84.152.231.98,1,1,0
217.85.146.177,1,1,0
Grauschnee,1,1,0
89.246.33.46,1,1,0
Gunnernett,1,1,1
Noxin911,1,1,1
91.15.119.63,1,1,0
HolgM,1,1,0
Kookaburra sits on the old gum tree,1,1,0
Hedipro,1,1,1
79.203.85.153,1,1,0
87.179.196.150,1,1,0
Jvansanten~dewiki,1,1,0
Ts nmn,1,1,0
84.44.143.118,1,1,0
Balham Bongos,1,1,1
84.140.240.113,1,1,0
Och Nö,1,1,0
134.2.213.116,1,1,0
2001:638:708:304:D563:4F6A:FC85:92A6,1,1,0
213.196.192.54,1,1,0
84.63.94.66,1,1,0
Jenissei,1,1,0
Yotwen,1,1,1
172.183.220.133,1,1,0
78.34.65.112,1,1,0
85.181.144.60,1,1,0
92.193.103.222,1,1,0
KalkGruesstDenRestDerWelt,1,1,1
Sim IQ,1,1,0
84.149.177.53,1,1,0
Quintatoen,1,1,1
217.81.136.179,1,1,0
83.135.2.147,1,1,0
198.240.212.30,1,1,0
2A01:5C0:14:E661:28BE:6B43:BE89:C467,1,1,0
85.179.250.87,1,1,0
Kiel25-35,1,1,0
79.227.227.117,1,1,0
79.254.202.34,1,1,0
213.189.146.37,1,1,0
AMEDAN,1,1,0
134.100.1.112,1,1,0
217.225.165.200,1,1,0
93.231.161.124,1,1,0
114.247.23.61,1,1,0
2A02:810C:CBC0:C60:5434:96F8:66DE:4F83,1,1,0
85.178.163.100,1,1,0
94.223.232.70,1,1,0
172.178.179.222,1,1,0
213.191.64.97,1,1,0
GFS Bundestagspräsident,1,1,1
80.121.30.38,1,1,0
212.121.136.226,1,1,0
Marysiaberlin,1,1,1
193.83.113.253,1,1,0
85.164.121.193,1,1,0
216.221.81.98,1,1,0
Gustav V.,1,1,0
95.114.85.151,1,1,0
78.55.145.189,1,1,0
78.50.204.132,1,1,0
2A02:8108:44BF:E475:91D9:20EA:3740:2EB4,1,1,0
217.238.78.66,1,1,0
Zuffi,1,1,0
85.180.54.237,1,1,0
217.227.154.153,1,1,0
91.34.119.93,1,1,0
RoteSonne,1,1,0
84.58.188.29,1,1,0
Zimmi,1,1,0
88.65.195.21,1,1,0
91.0.217.113,1,1,0
Spaazl,1,1,1
2003:EE:BCC:4100:B8B0:E077:2005:4668,1,1,0
80.171.129.218,1,1,0
217.234.31.23,1,1,0
217.224.253.36,1,1,0
BandicootSWar,1,1,1
80.144.246.104,1,1,0
Onkel Dolf,1,1,0
129.242.245.38,1,1,0
Studi111,1,1,0
Hecki,1,1,0
212.77.168.226,1,1,0
Powerlts,1,1,0
A.Heidemann,1,1,0
92.210.103.173,1,1,0
62.178.119.181,1,1,0
87.193.128.162,1,1,0
79.238.46.46,1,1,0
91.34.99.152,1,1,0
130.164.78.8,1,1,0
84.152.172.201,1,1,0
DietmarBroicher,1,1,0
62.224.211.238,1,1,0
217.251.43.197,1,1,0
85.181.46.130,1,1,0
217.94.104.29,1,1,0
80.171.51.176,1,1,0
178.191.98.97,1,1,0
213.188.55.28,1,1,0
83.109.146.33,1,1,0
92.195.205.44,1,1,0
194.208.136.45,1,1,0
78.52.106.46,1,1,0
217.85.107.243,1,1,0
88.72.7.200,1,1,0
T.groef,1,1,0
84.63.161.109,1,1,0
84.68.57.39,1,1,0
217.81.119.180,1,1,0
212.80.246.104,1,1,0
217.251.88.60,1,1,0
88.134.42.73,1,1,0
87.123.133.229,1,1,0
ChBoettner,1,1,1
188.96.186.123,1,1,0
62.134.88.60,1,1,0
DanielWetzler,1,1,0
92.228.78.160,1,1,0
83.203.242.141,1,1,0
194.8.223.8,1,1,0
195.8.125.74,1,1,0
87.123.144.81,1,1,0
84.176.129.145,1,1,0
91.57.80.162,1,1,0
88.134.28.141,1,1,0
Weiherberghof,1,1,0
80.134.15.225,1,1,0
84.176.129.146,1,1,0
80.133.141.252,1,1,0
93.218.145.215,1,1,0
80.109.123.9,1,1,0
217.246.198.7,1,1,0
84.169.168.78,1,1,0
84.128.129.251,1,1,0
78.53.227.48,1,1,0
217.85.222.144,1,1,0
188.61.50.216,1,1,0
217.84.75.155,1,1,1
Alex.posti,1,1,1
217.94.153.43,1,1,0
77.23.51.180,1,1,0
80.144.243.142,1,1,0
77.185.6.40,1,1,0
217.88.252.92,1,1,0
2003:E3:13D5:228F:98AF:2F94:1DBE:CF93,1,1,0
212.95.7.235,1,1,0
80.132.54.221,1,1,0
178.1.254.93,1,1,0
84.166.92.21,1,1,0
80.152.237.223,1,1,0
84.191.44.111,1,1,0
84.56.32.27,1,1,0
2A02:908:2818:1F40:79A1:A9C0:A337:4980,1,1,0
TegetthoffstrasseNr43,1,1,0
Causa sui-SUL,1,1,0
87.171.49.74,1,1,0
85.180.62.211,1,1,0
88.72.193.234,1,1,0
217.8.57.241,1,1,0
217.95.221.40,1,1,0
84.136.219.44,1,1,0
62.225.107.202,1,1,0
80.153.206.225,1,1,0
178.113.137.38,1,1,0
62.25.53.65,1,1,0
JSchoeck,1,1,0
91.63.190.137,1,1,0
92.231.15.169,1,1,0
78.52.195.145,1,1,0
194.156.7.18,1,1,0
95.112.171.223,1,1,0
Flatland,1,1,0
93.203.33.116,1,1,0
80.187.100.199,1,1,0
91.7.62.179,1,1,0
RootOfAllLight,1,1,0
212.6.123.204,1,1,0
88.153.32.130,1,1,0
87.167.167.92,1,1,0
84.128.141.130,1,1,0
84.56.190.154,1,1,0
84.146.191.7,1,1,0
85.178.244.35,1,1,0
78.52.54.251,1,1,0
212.144.174.225,1,1,0
91.10.21.143,1,1,0
92.73.210.196,1,1,0
62.67.242.252,1,1,0
178.1.32.24,1,1,0
80.108.111.133,1,1,0
46.223.60.199,1,1,0
217.227.241.79,1,1,0
80.187.96.19,1,1,0
91.0.127.78,1,1,0
80.144.92.4,1,1,0
87.165.230.136,1,1,0
84.63.96.43,1,1,0
46.244.241.56,1,1,0
80.139.135.116,1,1,0
217.228.9.18,1,1,0
83.109.150.47,1,1,0
212.7.165.81,1,1,0
84.136.86.83,1,1,0
Gerald Haft,1,1,1
176.6.19.19,1,1,0
62.226.211.146,1,1,0
91.65.179.130,1,1,0
62.180.78.3,1,1,0
62.158.93.5,1,1,0
145.254.33.149,1,1,0
E7,1,1,0
109.133.194.254,1,1,0
212.90.197.154,1,1,0
Alexander Jan I.,1,1,0
213.162.72.195,1,1,0
79.233.126.43,1,1,0
84.149.235.87,1,1,0
Alexander Grüner,1,1,0
Lichirhoma,1,1,0
217.233.172.29,1,1,0
Ichdertom,1,1,1
93.229.85.57,1,1,0
Volkolegrand,1,1,0
84.190.203.128,1,1,0
141.3.43.121,1,1,0
80.130.126.58,1,1,0
80.153.209.209,1,1,0
83.236.203.235,1,1,0
Ulix van raudt,1,1,1
Ev,1,1,1
80.145.116.225,1,1,0
146.60.145.250,1,1,0
80.219.31.48,1,1,0
80.121.4.68,1,1,0
91.32.113.7,1,1,0
91.0.33.163,1,1,0
109.192.253.138,1,1,0
So-Gast,1,1,0
Tulumino,1,1,0
84.132.45.162,1,1,0
160.45.163.87,1,1,0
Casesunit~dewiki,1,1,0
79.200.124.194,1,1,0
217.246.218.143,1,1,0
2A01:598:9907:9E14:5106:27A5:400A:89E8,1,1,0
83.135.144.180,1,1,0
88.72.194.24,1,1,0
84.190.220.165,1,1,0
178.19.229.38,1,1,0
88.75.82.131,1,1,0
Peterbruells,1,1,1
86.131.227.83,1,1,0
84.62.218.242,1,1,0
68.122.4.228,1,1,0
Unnamed123,1,1,1
77.13.46.93,1,1,0
95.118.146.2,1,1,0
MrBrook,1,1,0
2.240.130.72,1,1,0
Oledd,1,1,1
Limafact,1,1,0
87.165.59.127,1,1,0
217.95.61.66,1,1,0
217.249.124.66,1,1,0
92.73.121.178,1,1,0
62.224.83.148,1,1,0
87.15.106.167,1,1,0
84.44.137.6,1,1,0
217.93.99.207,1,1,0
79.200.188.204,1,1,0
62.202.182.228,1,1,0
Burkili,1,1,1
84.135.154.235,1,1,0
217.83.91.42,1,1,0
87.170.107.221,1,1,0
145.253.194.41,1,1,0
K2Ro,1,1,1
217.82.225.238,1,1,0
2003:80:AE3D:BB1F:3956:DD5B:D108:57C7,1,1,0
Guntram67,1,1,0
78.48.49.41,1,1,0
129.206.197.50,1,1,0
84.128.237.57,1,1,0
89.13.83.137,1,1,0
Kw,1,1,1
79.214.40.48,1,1,0
80.171.38.11,1,1,0
80.219.148.56,1,1,0
DerLangeFrank,1,1,1
2003:46:A73:F685:3D12:B2A9:32B1:9B65,1,1,0
Moovie,1,1,1
217.227.242.152,1,1,0
92.208.160.221,1,1,0
217.249.176.142,1,1,0
Martino,1,1,0
84.60.237.92,1,1,0
92.72.100.49,1,1,0
88.65.241.239,1,1,0
217.5.27.130,1,1,0
80.187.111.187,1,1,0
84.191.93.223,1,1,0
87.175.103.67,1,1,0
80.146.125.140,1,1,0
84.160.187.252,1,1,0
89.204.138.12,1,1,0
84.136.247.30,1,1,0
80.184.94.153,1,1,0
83.236.64.129,1,1,0
193.174.142.80,1,1,0
Jens-Olaf,1,1,0
84.171.235.171,1,1,0
91.61.254.188,1,1,0
84.183.109.185,1,1,0
91.97.6.2,1,1,0
89.244.91.231,1,1,0
91.63.102.55,1,1,0
91.61.165.226,1,1,0
82.140.37.237,1,1,0
88.76.195.148,1,1,0
92.224.72.141,1,1,0
Centic,1,1,0
87.151.246.157,1,1,0
145.254.236.148,1,1,0
217.129.92.212,1,1,0
84.159.229.151,1,1,0
85.182.105.32,1,1,0
2A02:908:D77:CC0:4C7F:159F:4E9F:8733,1,1,0
219.106の者,1,1,0
Nicephor,1,1,0
80.130.48.26,1,1,0
78.49.73.109,1,1,0
79.227.144.119,1,1,0
213.39.215.14,1,1,0
80.184.37.71,1,1,0
Kanadier,1,1,1
84.59.212.147,1,1,0
80.228.24.38,1,1,0
2.202.204.1,1,1,0
213.157.9.110,1,1,0
2A02:810C:800:2C7C:196A:7ED7:A79:677A,1,1,0
213.39.217.14,1,1,0
Template namespace initialisation script,1,1,0
88.36.199.190,1,1,0
Aknot83,1,1,0
79.249.41.172,1,1,0
Étoile Noire,1,1,0
89.12.53.197,1,1,0
88.72.83.123,1,1,0
89.0.202.156,1,1,0
85.124.234.173,1,1,0
80.135.250.149,1,1,0
Nickshanks,1,1,1
DuSchweizer,1,1,0
93.209.182.212,1,1,0
84.172.10.253,1,1,0
217.197.73.19,1,1,0
87.173.223.105,1,1,0
83.32.40.64,1,1,0
84.133.57.200,1,1,0
188.96.3.213,1,1,0
Hans Niepoetter,1,1,0
2003:CF:271B:6900:D843:B7D1:D640:480B,1,1,0
2A04:4540:8205:6401:25B9:4F46:3FDB:DFA3,1,1,0
2A02:8108:1A00:30B8:58BB:AE35:92C5:782E,1,1,0
62.46.117.165,1,1,0
87.178.252.31,1,1,0
Barrya24,1,1,1
Pitschal,1,1,0
Genealexander,1,1,1
Frigrue,1,1,0
46.5.254.53,1,1,0
212.37.59.21,1,1,0
Vaterländler,1,1,0
149.205.5.24,1,1,0
188.101.242.79,1,1,0
88.153.7.135,1,1,0
84.184.210.196,1,1,0
79.249.179.202,1,1,0
Stefanuccio,1,1,0
188.174.39.250,1,1,0
IQWiG,1,1,0
Xabraxas,1,1,0
88.76.137.97,1,1,0
79.241.181.162,1,1,0
217.83.214.104,1,1,0
80.136.67.182,1,1,0
84.154.18.222,1,1,0
Propterhoc,1,1,0
83.222.159.51,1,1,0
Markus.thor,1,1,1
Gammelgul,1,1,0
80.108.199.129,1,1,0
2003:C2:CF1C:DC28:CDE9:8578:CE51:3E3C,1,1,0
217.227.33.238,1,1,0
91.51.191.161,1,1,0
93.129.201.205,1,1,0
87.171.62.210,1,1,0
195.49.160.7,1,1,0
84.163.236.119,1,1,0
84.163.236.118,1,1,0
193.158.246.158,1,1,0
Khaled~dewiki,1,1,0
141.91.136.38,1,1,0
Mediknight,1,1,0
217.184.240.141,1,1,0
80.217.220.56,1,1,0
2003:F2:83C7:6CA4:84DB:6A35:B85A:CF7B,1,1,0
217.230.21.12,1,1,0
88.153.139.201,1,1,0
2A02:810D:1840:D60:91F3:CCA:D235:40C8,1,1,0
217.224.250.51,1,1,0
2003:5A:EF3B:4F79:A037:C1EC:91A9:4081,1,1,0
Kaffeeringe,1,1,0
79.253.182.247,1,1,0
212.144.142.60,1,1,0
193.206.79.22,1,1,0
93.82.81.230,1,1,0
84.44.170.29,1,1,0
Tiago,1,1,1
85.4.155.202,1,1,0
85.178.77.167,1,1,0
129.217.132.36,1,1,0
80.90.154.124,1,1,0
Zettberlin,1,1,1
84.128.128.177,1,1,0
Heribertius,1,1,0
62.134.120.8,1,1,0
128.176.76.30,1,1,0
85.180.37.40,1,1,0
2A02:8071:A28C:4100:11AD:383F:661A:57,1,1,0
Myself488,1,1,1
188.174.186.44,1,1,0
93.135.155.246,1,1,0
87.138.161.143,1,1,0
92.77.246.78,1,1,0
84.59.137.197,1,1,0
87.123.131.132,1,1,0
84.149.109.167,1,1,0
217.185.36.231,1,1,0
88.66.18.230,1,1,0
Ver-bot,1,1,1
80.171.113.11,1,1,0
Florian.b,1,1,1
84.161.96.91,1,1,0
84.152.201.191,1,1,0
79.195.0.48,1,1,0
2003:75:F52:C8E5:55C2:F68D:32FF:F4B2,1,1,0
77.21.46.8,1,1,0
84.145.38.65,1,1,0
Marco Militsch,1,1,0
77.64.133.212,1,1,0
Moritz Schelkes,1,1,0
JohannesPonader,1,1,0
84.157.253.24,1,1,0
JochenF,1,1,1
93.133.195.234,1,1,0
Walfisch5,1,1,1
87.150.110.215,1,1,0
87.178.43.254,1,1,0
89.49.133.32,1,1,0
80.141.47.87,1,1,0
213.198.84.193,1,1,0
89.56.134.187,1,1,0
R88D88,1,1,1
141.47.242.185,1,1,0
Traktorist82,1,1,0
91.2.152.107,1,1,0
83.169.155.27,1,1,0
Knbinnerer,1,1,1
88.237.198.241,1,1,0
134.1.2.6,1,1,0
78.42.94.74,1,1,0
172.178.142.52,1,1,0
84.190.203.102,1,1,0
84.73.132.100,1,1,0
93.122.78.57,1,1,0
84.189.33.5,1,1,0
83.77.182.245,1,1,0
84.131.217.190,1,1,0
47.71.78.39,1,1,0
2A02:810A:8380:CFE4:58D9:AA30:6BC9:CF93,1,1,0
93.184.187.12,1,1,0
134.169.9.141,1,1,0
88.73.127.74,1,1,0
88.72.210.73,1,1,0
88.196.155.250,1,1,0
84.184.254.13,1,1,0
129.78.64.100,1,1,0
Sozi 09-3,1,1,0
80.171.184.103,1,1,0
93.203.252.1,1,1,0
87.171.32.203,1,1,0
84.57.1.182,1,1,0
80.143.78.147,1,1,0
193.109.238.133,1,1,0
87.158.125.1,1,1,0
84.169.185.84,1,1,0
84.56.28.6,1,1,0
84.146.248.51,1,1,0
Torsten Wittmann,1,1,1
77.23.38.190,1,1,0
Porschekoenig,1,1,1
87.171.43.194,1,1,0
103.111.56.146,1,1,0
193.188.195.135,1,1,0
89.182.153.78,1,1,0
91.48.57.25,1,1,0
Mk-fn,1,1,1
Dutch damager,1,1,0
188.108.104.179,1,1,0
89.1.167.177,1,1,0
95.141.119.209,1,1,0
QuotenBot,1,1,0
188.101.121.228,1,1,0
62.156.47.25,1,1,0
178.2.52.55,1,1,0
80.144.214.24,1,1,0
Revisionistischer Holocaustleugner,1,1,0
212.183.127.43,1,1,0
130.180.38.50,1,1,0
88.70.193.255,1,1,0
Joe Friday,1,1,1
87.184.23.175,1,1,0
62.52.54.84,1,1,0
Test778899,1,1,1
79.196.198.79,1,1,0
217.235.207.97,1,1,0
62.19.19.139,1,1,0
84.190.153.46,1,1,0
188.100.7.250,1,1,0
88.68.208.177,1,1,0
84.137.31.109,1,1,0
46.115.56.174,1,1,0
RauAndreas1,1,1,1
Steef,1,1,0
212.23.103.15,1,1,0
Ulv,1,1,0
172.179.30.178,1,1,0
93.221.98.33,1,1,0
77.176.66.131,1,1,0
87.144.122.52,1,1,0
195.93.60.4,1,1,0
95.118.250.159,1,1,0
Eli.P,1,1,0
Raubotter,1,1,1
62.37.160.58,1,1,0
2003:74:4E01:8E15:3557:931A:C0C8:E355,1,1,0
193.154.184.62,1,1,0
82.141.59.73,1,1,0
93.216.18.241,1,1,0
80.58.13.109,1,1,0
217.4.47.60,1,1,0
2A02:908:FD32:1D80:D5A7:C605:2D28:2F3D,1,1,0
Robin von Stedow,1,1,0
213.102.97.159,1,1,0
2003:E6:2BC8:9F57:4C44:8A1:D42A:82E,1,1,0
92.72.219.135,1,1,0
91.89.178.124,1,1,0
91.7.125.196,1,1,0
87.123.30.249,1,1,0
BWesten,1,1,1
176.199.28.54,1,1,0
88.64.142.200,1,1,0
217.5.217.75,1,1,0
85.178.16.253,1,1,0
Braegel,1,1,0
159.245.16.100,1,1,0
84.131.19.166,1,1,0
SymTec ltd.,1,1,0
Funtick,1,1,0
87.176.151.125,1,1,0
89.56.145.105,1,1,0
217.224.237.57,1,1,0
Trattoria,1,1,0
91.9.204.121,1,1,0
62.180.145.15,1,1,0
Place Clichy,1,1,1
80.144.113.6,1,1,0
Aidas,1,1,0
62.224.64.251,1,1,0
DieterEg,1,1,0
85.139.110.139,1,1,0
84.137.5.109,1,1,0
2000,1,1,0
MaatyBot,1,1,1
Kvist,1,1,1
Johann Nepomuk,1,1,0
62.138.203.74,1,1,0
Tony Mach,1,1,1
95.112.87.104,1,1,0
87.182.240.244,1,1,0
91.96.36.64,1,1,0
79.219.224.185,1,1,0
2A02:908:FD33:3000:2476:AE00:D228:E870,1,1,0
Verspeckte Ermittlerin,1,1,1
80.187.96.104,1,1,0
2A02:908:DB25:EB00:940C:22D6:1F2F:A95C,1,1,0
213.33.4.100,1,1,0
95.90.230.188,1,1,0
217.80.188.89,1,1,0
178.19.228.38,1,1,0
213.95.18.125,1,1,0
58.248.25.233,1,1,0
87.189.103.136,1,1,0
62.19.22.133,1,1,0
Thomas Rüfner,1,1,1
Xander.Dorn,1,1,0
Flinke Feder,1,1,0
91.55.40.32,1,1,0
84.156.82.100,1,1,0
84.140.83.161,1,1,0
RheinhessenAZ,1,1,0
84.166.110.109,1,1,0
77.185.215.196,1,1,0
217.250.219.194,1,1,0
217.87.20.124,1,1,0
2003:6:3B6:5F82:9C7B:CF4F:D08B:4312,1,1,0
85.73.137.156,1,1,0
89.244.93.29,1,1,0
83.109.165.48,1,1,0
212.95.7.61,1,1,0
84.59.167.141,1,1,0
Ge-Re,1,1,1
Günter Fremuth,1,1,0
94.16.84.220,1,1,0
84.191.189.220,1,1,0
145.254.98.178,1,1,0
84.185.200.119,1,1,0
Slaysel,1,1,0
194.39.1.132,1,1,0
84.191.221.160,1,1,0
80.228.40.104,1,1,0
81.62.233.176,1,1,0
PC-Kenntnisse,1,1,1
80.132.10.230,1,1,0
87.161.254.245,1,1,0
87.234.25.138,1,1,0
2003:C4:6F12:8D00:D1FF:AF6F:730C:BF6E,1,1,0
84.182.83.93,1,1,0
89.25.243.178,1,1,0
AlecTrevelyan402,1,1,0
Andycjp,1,1,0
217.250.234.65,1,1,0
84.144.226.73,1,1,0
80.130.116.82,1,1,0
84.191.122.203,1,1,0
83.191.162.149,1,1,0
217.232.210.127,1,1,0
83.135.61.121,1,1,0
84.179.170.202,1,1,0
91.20.202.165,1,1,0
134.76.61.153,1,1,0
212.152.0.26,1,1,0
62.159.119.24,1,1,0
80.231.220.128,1,1,0
188.195.230.191,1,1,0
80.187.117.29,1,1,0
2A02:810C:480:984:71A1:A778:1318:851B,1,1,0
79.192.161.194,1,1,0
81.27.162.203,1,1,0
87.123.116.56,1,1,0
2A02:8070:E288:6200:3975:DE1F:9511:9731,1,1,0
91.89.117.46,1,1,0
87.185.218.61,1,1,0
84.113.85.205,1,1,0
84.152.41.233,1,1,0
46.114.132.206,1,1,0
80.141.145.94,1,1,0
Josie Alligator,1,1,0
2001:A60:15A7:DC01:683B:5807:C873:A9D5,1,1,0
217.233.46.121,1,1,0
Schuetzm,1,1,1
77.118.186.113,1,1,0
Ulis,1,1,1
178.5.112.90,1,1,0
89.217.79.182,1,1,0
87.79.170.108,1,1,0
79.244.83.119,1,1,0
Dr. Ronald Kunze,1,1,0
Random rings,1,1,0
212.201.72.46,1,1,0
Gire 3pich2005,1,1,0
37.24.190.202,1,1,0
176.198.220.212,1,1,0
AwOcBot,1,1,1
85.180.216.70,1,1,0
Taschenrechner123,1,1,0
Togo~dewiki,1,1,0
